"username","30_days_ago_rating","date","rating"
"Sharkfang",2825,"2024-0-18",2825
"Sharkfang",2665,"2024-0-20",2665
"Sharkfang",2658,"2024-0-21",2658
"Sharkfang",2683,"2024-0-22",2683
"Sharkfang",2688,"2024-0-27",2688
"Sharkfang",2689,"2024-0-29",2689
"Sharkfang",2509,"2024-0-19",2509
"Sharkfang",2520,"2024-0-24",2520
"Sharkfang",2534,"2024-0-26",2534
"Sharkfang",2546,"2024-0-28",2546
"Sharkfang",2547,"2024-1-2",2547
"Sharkfang",2547,"2024-1-9",2547
"Sharkfang",2816,"2024-0-22",2816
"Sharkfang",2616,"2024-1-2",2616
"Sharkfang",2627,"2024-1-3",2627
"Sharkfang",2638,"2024-1-4",2638
"Sharkfang",2624,"2024-1-5",2624
"Sharkfang",2635,"2024-1-6",2635
"Sharkfang",2643,"2024-1-7",2643
"Sharkfang",2651,"2024-1-8",2651
"Sharkfang",2640,"2024-1-9",2640
"Sharkfang",2629,"2024-1-10",2629
"Sharkfang",2638,"2024-1-11",2638
"strategyforchess",2174,"2024-0-13",2174
"strategyforchess",2182,"2024-0-16",2182
"strategyforchess",2181,"2024-0-17",2181
"strategyforchess",2175,"2024-0-19",2175
"strategyforchess",2183,"2024-0-20",2183
"strategyforchess",2190,"2024-0-26",2190
"strategyforchess",2201,"2024-1-4",2201
"strategyforchess",2207,"2024-1-8",2207
"strategyforchess",2333,"2024-0-15",2333
"strategyforchess",2351,"2024-0-16",2351
"strategyforchess",2376,"2024-0-24",2376
"strategyforchess",2382,"2024-0-30",2382
"strategyforchess",2390,"2024-1-8",2390
"strategyforchess",2482,"2024-0-15",2482
"strategyforchess",2498,"2024-0-16",2498
"strategyforchess",2498,"2024-0-24",2498
"strategyforchess",2496,"2024-0-31",2496
"strategyforchess",2504,"2024-1-8",2504
"strategyforchess",2510,"2024-0-15",2510
"strategyforchess",2523,"2024-0-20",2523
"strategyforchess",2528,"2024-0-24",2528
"strategyforchess",2543,"2024-0-30",2543
"strategyforchess",2548,"2024-1-8",2548
"strategyforchess",2544,"2024-1-9",2544
"strategyforchess",2637,"2024-0-15",2637
"strategyforchess",2639,"2024-0-16",2639
"strategyforchess",2640,"2024-0-20",2640
"strategyforchess",2642,"2024-0-22",2642
"strategyforchess",2643,"2024-0-27",2643
"strategyforchess",2644,"2024-0-28",2644
"strategyforchess",2644,"2024-0-29",2644
"strategyforchess",2647,"2024-0-30",2647
"strategyforchess",2649,"2024-0-31",2649
"strategyforchess",2651,"2024-1-1",2651
